"Country","Variable","Sex","Variant","Year","Age","Value","percentage_of_pop"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 0-4",359889,8.64
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 5-9",349414,8.39
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 10-14",350772,8.42
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 15-19",372598,8.94
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 20-24",389698,9.36
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 25-29",346343,8.31
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 30-34",311318,7.47
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 35-39",313664,7.53
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 40-44",296673,7.12
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 45-49",256241,6.15
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 50-54",212186,5.09
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 55-59",187614,4.50
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 60-64",134864,3.24
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 65-69",100706,2.42
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 70-74",78688,1.89
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 75-79",54491,1.31
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 80-84",31048,0.75
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 85-89",13830,0.33
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 90-94",4388,0.11
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 95-99",894,0.02
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 100+",122,0.00
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 0-4",301713,5.84
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 5-9",308757,5.98
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 10-14",314599,6.09
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 15-19",318688,6.17
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 20-24",323475,6.26
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 25-29",332787,6.44
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 30-34",344956,6.68
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 35-39",351671,6.81
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 40-44",340716,6.60
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 45-49",327645,6.34
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 50-54",323556,6.27
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 55-59",336090,6.51
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 60-64",338409,6.55
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 65-69",278011,5.38
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 70-74",219866,4.26
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 75-79",183340,3.55
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 80-84",124859,2.42
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 85-89",63341,1.23
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 90-94",23386,0.45
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 95-99",6716,0.13
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 100+",1481,0.03
