"Country","Variable","Sex","Variant","Year","Age","Value","percentage_of_pop"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 0-4","359889","8.64"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 5-9","349414","8.39"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2010"," 100+","122","0"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 0-4","301713","5.84"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 5-9","308757","5.98"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 10-14","314599","6.09"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 15-19","318688","6.17"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 20-24","323475","6.26"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 25-29","332787","6.44"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 90-94","23386","0.45"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 95-99","6716","0.13"
"Asia","Population by five-year age group and sex (thousands)","Total","Medium variant","2050"," 100+","1481","0.03"
